Name,Online_Order,Book_Table,Ratings,Dish_Liked,Approx_Cost(For Two People)
Sree Ganesha Fruits & Juice,Yes,No,3.4,Unknown,100
Goli Vada Pav No. 1,Yes,No,3.2,"Cheese Vada Pav, Kulfi, Burgers, Tikki, Cheese Fingers, Schezwan Vada Pav",200
Nandhana Palace,No,Yes,4.1,"Chicken Guntur, Hyderabadi Chicken Biryani, Andhra Meal, Mutton Biryani, Vegetable Biryani, Andhra Style Chilli Chicken, Mojito",800
Biryani Nights,Yes,No,3.6,Unknown,400
Thejas Bhavan,Yes,No,3.5,Unknown,400
Kababish Restaurant,Yes,No,3.6,Unknown,700
Graffitea,Yes,No,3.7,Unknown,200
Gappe,Yes,No,3.8,Unknown,200
On The Nose,Yes,No,3.8,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup",600
Juicy & Spicy,Yes,No,3.1,Unknown,150
Eat Repeat Express,Yes,No,3.2,Unknown,700
TFI - The Fresh Ice Cream,Yes,No,3.2,Unknown,400
Mirch Masala,Yes,No,3.4,Unknown,500
Just Chill,Yes,No,3.4,Unknown,250
Gruhalakshmi Home Foods,Yes,No,3.3,Unknown,250
BEIR,No,No,3.6,Unknown,800
Bengalooru Tiffany's,Yes,No,3.0,Unknown,400
Udupi Thaja Thindi,Yes,No,2.9,"Masala Dosa, Vada, Filter Coffee",250
Baba Ka Dhaba,Yes,No,3.7,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",400
Hot Burg,Yes,No,3.5,Unknown,200
Northern Bites,Yes,No,3.3,Unknown,400
Hotel Smile,Yes,No,3.1,Unknown,400
Roll Wala,Yes,No,3.3,Unknown,300
Natural Ice Cream,No,No,4.3,"Chocolate Almond, Tender Coconut Ice Cream, Choco Almond, Coffee Walnut, Custard Apple",150
Biriyani Mane,Yes,No,3.7,"Roti, Vegetable Biryani, Chicken Biryani",700
F3 Food Fun Fiesta,Yes,No,3.3,Unknown,500
Churchill's,Yes,Yes,4.1,"Cocktails, Pasta, Hara Bhara Kebab, Peppy Paneer, Paneer Pizza, Peri Peri Prawn, Fiery Paneer",1100
Kulkarni's New Uttara Karnataka Food Speciality Stores,Yes,No,3.4,Unknown,250
The Hungers Zone,Yes,No,3.8,Unknown,300
The Chocolate Room,Yes,No,3.9,"Brownie, Coffee, Hot Chocolate, Garlic Pops, Chocolate Waffles, Chocolate Avalanche",400
Aramane Restaurant,Yes,Yes,2.9,Afghan Chicken,800
Cookie Man,Yes,No,3.4,"Chocolate Chip Cookie, Brownie Chocolate",150
Hunger2Eat,Yes,No,3.8,Unknown,400
BBQ Ride 46,Yes,No,3.4,Unknown,200
Bawarchi Inn,Yes,No,3.1,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani",600
Ruh's Cafe,Yes,No,4.1,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler",500
Eatery Have U Been,Yes,No,3.4,Unknown,500
Mojo Pizza - 2X Toppings,Yes,No,4.2,"Chocolava Cake, Pepperoni Pizza, Veggie Pizza, Bbq Chicken, Paneer Tikka, Cheesy Garlic Bread, Cheese Burst Crust",600
Upahar Banashree,Yes,No,3.4,Unknown,400
Petoo,Yes,No,3.9,"Gulab Jamun, Samosa, Paratha, Paneer Curry, Biryani, Chaat, Veg Cutlet",400
Me And My Cake,Yes,No,3.1,Unknown,500
Bhojon Tripti,Yes,No,2.9,Unknown,300
New South Corner,Yes,No,3.7,Unknown,300
Khana Khazana,Yes,No,3.7,Unknown,400
China Tang,Yes,No,3.7,Unknown,600
California Burrito,No,No,4.0,"Rice Bowl, Nachos, Rice Bowls, Salad, California Burrito, Tacos, Salads",400
Tandoor Garden,Yes,No,3.6,"Tandoori Chicken, Butter Naan, Kadai Paneer, Pepper Chicken",350
Caffe Pascucci,Yes,Yes,4.0,"Coffee, Cappuccino, Sandwiches, Salads, Asparagus Soup, Woodfire Pizza, Bruschettas",1300
Freeze It,Yes,No,3.6,Unknown,300
Meal Square,Yes,No,3.2,Unknown,600
Chaitanya Cafe,Yes,No,3.9,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar",300
Anand Sweets and Savouries,No,No,4.1,"Chole Bhature, Thali, Papdi Chaat, Shahi Paneer",400
Tasty Jigarthanda,Yes,No,3.4,Unknown,150
Berrylicious,Yes,No,3.8,"Macaroon, Brownie Sundae, Waffles",400
RCS Kitchen,Yes,No,3.3,Unknown,500
Pappu Da Dhaba,Yes,No,3.0,"Lassi, Chai, Paratha",400
Smoke - The Sizzler House,Yes,No,3.8,"Chicken Sizzler, Garlic Bread, Potato Wedges, Vanilla Ice Cream, Pasta, French Fries",1100
Sandwich Shop,Yes,No,2.9,Unknown,400
Joon Restaurant,Yes,No,3.7,Unknown,400
Shree Udupi Grand,Yes,No,3.8,Unknown,600
Snack Knack,Yes,No,3.0,Unknown,200
Chung Wah Opus,Yes,No,3.0,"Rice, Noodles, Chop Suey",650
Chef & Dine,Yes,No,3.2,Unknown,650
Once In Nature,Yes,No,3.7,Unknown,300
Manjushree Upahara,Yes,No,3.8,Unknown,150
Hotel Annapoorna,Yes,No,3.2,"Chicken Biryani, Mutton Biryani, Andhra Meal, Mutton Fry, Fry Prawns, Fish Fry, Chilli Chicken",400
Dream a Dozen,Yes,No,4.3,"Cup Cake, Cake Pops, Chocolate Truffle Cake, Brownie",300
Bread Crumbs Bakery,No,No,4.0,"Samosa, Egg Puff, Paneer Puff, Chocolate Truffle",250
Nite Out,Yes,No,3.9,"Biryani, Noodles",500
Cupcake Bliss,Yes,No,3.5,Unknown,250
Armaani Caffe,Yes,No,3.5,Unknown,250
Muddhe Bytes,Yes,No,3.4,Unknown,300
The Paratha Stories,Yes,No,3.3,Unknown,250
Food Court,Yes,No,3.3,Unknown,300
Calvin's,Yes,No,3.8,"Club Chicken Sandwich, Sandwiches, Coffee, Pie, Burgers, Carrot Cake, Cheesecake",800
Yummy Momos,Yes,No,3.25,Unknown,200
Bombay Kulfis,Yes,No,3.5,"Malai Kulfi, Kesar Pista",200
Willys Top Cafe,Yes,No,4.0,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries",750
Mist n Creams,Yes,No,3.7,Friendly Staff,400
Papacream,Yes,No,3.7,Unknown,350
Woody's,Yes,No,2.6,"Curd Rice, Pongal, Coffee, Thali, Noodles, Pav Bhaji, Masala Dosa",650
JP Fish Land,Yes,No,3.6,Unknown,300
Pepper Crown Restaurant,Yes,No,3.2,Unknown,700
Pizza Paradise,Yes,No,3.6,Unknown,500
Cakeport,Yes,No,3.4,Unknown,400
The Curry Hut Plus,Yes,No,3.4,"Thai Chicken, Paratha, Mutton Fry",400
Malabar Mess,No,No,3.7,Unknown,250
Malabar Cafe,Yes,No,3.3,Unknown,400
Tangra Indo - Chinese Cuisine,Yes,No,3.6,Unknown,400
Juice Junction,Yes,No,2.9,"Sandwiches, Fruit Bowl, Panipuri, Corn Sandwich, Palak Paneer, Arabian Grape Juice, Cheesy Grilled Sandwich",150
Xpress Chai,Yes,No,3.3,Unknown,150
Zhangs Classic,Yes,No,2.6,"Chowmein, Chicken Manchow Soup, Momos, Dragon Rolls, Chicken Momo, Hot Pot, Sweet Corn Chicken Soup",600
Biryani Rooh-e-Khaas,Yes,No,4.2,"Chicken Dum Biryani, Shahi Tukda",400
Guru Greens,No,No,3.8,"Tandoori Chicken, Beer, Pepper Chicken, French Chicken",550
D View Cafe,Yes,No,4.0,"Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings",1000
The Cuboidal,Yes,No,3.6,Unknown,300
Delifusion - Hunger Sorted,Yes,No,3.3,Unknown,500
Flavour of China,Yes,No,3.8,"Spring Roll, Chilli Chicken, Chowmein, Sweet Corn Chicken Soup, Dragon Chicken, Hakka Noodles, Chop Suey",550
Gujrati Mess,Yes,No,3.6,Unknown,200
Cake-O-Mania,Yes,No,3.4,Unknown,300
The Park Inn Restaurant,No,No,3.0,Unknown,450
Eagle Ridge,No,Yes,3.2,Unknown,700
Vidya Cafe,Yes,No,3.2,Unknown,300
Northern Bites,No,No,3.25,Unknown,350
Kabab Treat,Yes,No,2.8,"Biryani, Tandoori Chicken, Chicken Grill, Shawarma Roll",500
Limra Hotel,Yes,No,3.3,Unknown,300
Kafe Nook,Yes,No,3.6,Unknown,300
Kumbha Bhojanam,No,No,3.6,Unknown,300
Yummerica Fries,No,No,3.3,Unknown,300
Frozen Bottle,Yes,No,3.6,Brownie,400
Casa Piccosa,Yes,Yes,4.1,"Cocktails, Cajun Chicken, Beer, Salads, Chilli Babycorn, Chicken Tacos, Murgh Platter",1100
Bake Addiction,Yes,No,4.0,"Cup Cake, Swiss Roll",500
Tongue Twisters,Yes,No,3.5,"Veg Thali, Fish Thali",350
Hot Rolls & House Of Kebabs,Yes,No,3.1,Unknown,200
Aami Kolkata,No,No,3.3,Unknown,600
Vaathsalya Millet Cafe,Yes,Yes,4.1,"Khichda, Thali, Jowar Roti, Cucumber Juice, Brownie, Palak Soup, Buttermilk",500
Chaatimes,Yes,No,4.1,"Chaat, Dabeli, Panipuri",250
Hungry Buddies,No,No,3.3,Unknown,150
Goodness! Beverages,Yes,No,3.4,Unknown,250
The Chaat Shop,No,No,3.2,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",100
TheRiceBowl.In,Yes,No,3.4,Unknown,200
Guru Garden,No,No,2.9,Biryani,450
Cakes By M,No,No,3.4,Unknown,500
Brewz Coffee,Yes,No,3.0,"Coffee, Sandwiches, Cappuccino",650
Fritz Haber,Yes,No,3.4,"Ice Cream Roll, Nitrogen Ice Cream, Roasted Almonds, Salted Caramel",450
Athithi,No,No,2.8,Dum Biryani,650
Roll N Rock,Yes,No,3.7,"Rolls, Paratha, Chicken Biryani",400
Smooth Blender,Yes,No,3.4,Unknown,300
Sri Bhagya Grand,Yes,No,3.4,"Pav Bhaji, Tea, Tandoori Roti, Coffee, Malai Kofta, Vada, Curd Rice",450
Shree Guru Juice 'N' Ice,Yes,No,3.3,Unknown,250
Bhavya Military Hotel,No,No,3.5,Unknown,300
Neals Cafe,No,No,3.1,Unknown,550
Flavorsome Bakes,No,No,4.0,"Cup Cake, Pineapple Cake",800
Bake-ooh,No,No,3.7,Unknown,350
The Yummy Tummy,No,No,3.5,Unknown,200
Mast Kalandar,No,No,2.4,"Lassi, Raita, Chole, Dal Makhani, Gulab Jamun, Buttermilk",450
Sultan's Biryani,No,No,3.0,Unknown,700
Halli Sogasu,No,No,3.0,Unknown,600
Crepe Nation,Yes,No,3.8,Unknown,300
RICE BAR,No,No,3.1,Unknown,500
Kanika Biryani Paradise,No,No,3.4,Unknown,700
Resto,No,No,3.7,Unknown,350
New Tandoori Point,No,No,3.3,"Biryani, Tandoori Chicken",600
Shiv Sagar,No,No,2.9,"Masala Dosa, Chole Bhature, Coffee",250
Little Shangai,No,No,3.3,Unknown,400
Nadella's Kitchen,No,No,3.3,Unknown,300
Uncle's Kitchen,No,No,2.8,Unknown,450
Coastal Inn,No,No,3.4,"Biryani, Sea Food, Fish Thali",800
Mom's Momos,No,No,3.3,Unknown,300
Aishwarya Parkland,No,No,2.9,Unknown,500
Slice of Spice,No,No,3.1,Unknown,400
Bao and Rolls,No,No,3.6,Unknown,250
Andhra Bhojanam,No,No,3.6,Chicken Curry,600
Kedia's Fun Food,No,No,4.3,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",200
Kanchan Dhaba,No,No,3.2,Unknown,350
Encyclofoodia,No,No,3.9,Unknown,350
Bella?s Kitchen,No,No,2.9,Unknown,600
Food Feast Multicusine Restaurant,No,No,3.3,Unknown,600
Bangalir Rannaghar,No,No,2.9,Noodles,250
Sai Samosa & Chat Corner,No,No,3.3,Unknown,200
Lalchee's Rasoi,No,No,3.6,"Rolls, Chicken Curry, Hara Bhara Kebab, Egg Masala, Egg Curry, Naan, Roti",500
Kailash Parbat,No,No,2.7,"Chole, Chaat, Gulab Jamun, Dahipuri, Sev Puri, Bhel Puri, Pakoda",300
Just Bake,No,No,3.5,"Coffee, Cup Cake",400
Goli Vada Pav No 1,No,No,3.4,Unknown,150
Kitchen King,No,No,3.8,Shawarma,250
Dream's Kitchen,No,No,3.1,Unknown,700
Tandoor Hut,No,No,2.2,"Noodles, Tandoori Chicken",750
The Chocolatiers,No,No,3.5,Unknown,150
Ballava,No,No,3.3,Unknown,400
Zaika Take Away,No,No,2.4,"Butter Naan, Kadhai Mushroom",500
Snackiey,No,No,3.5,Unknown,250
Thalassery Food Court,No,No,3.1,Unknown,500
Sandwich Mamas,No,No,3.2,Unknown,300
The Shake Factory Originals,No,No,3.3,Unknown,200
Foodiction,No,No,2.9,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
Hotel Lakshmi Paradise,No,No,3.3,Unknown,400
Desi Bites,No,No,3.3,Paratha,200
Shiv Sai,No,No,3.2,Unknown,400
The Sandesh Factory,No,No,3.2,Unknown,150
Adi's Cake N Cafe,No,No,3.3,Unknown,400
D Fusion,No,No,3.5,Unknown,400
Smooth,No,No,3.7,Unknown,200
Om Nom Thai,No,No,3.9,Pad Thai Noodle,400
The Juicy,Yes,No,3.5,Unknown,100
Feast and Burp,No,No,3.3,Unknown,300
Chocolate Junction,No,No,3.8,Unknown,200
Zengi Pub & Restaurant,Yes,No,3.7,Unknown,900
Cafe Indiana,No,No,3.5,Unknown,600
Ammi's Biryani,No,No,2.4,"Chicken Biryani, Hyderabadi Biryani, Rolls, Mutton Biryani, Raita, Kheer, Vegetable Biryani",500
Multi Cakes,No,No,3.0,Chocolate Cake,200
Bhukkad,No,No,3.1,Unknown,250
Malhar Maharashtrian Cuisine,Yes,No,4.0,"Brinjal Curry, Misal Pav, Chicken Thali, Chicken Kolhapuri, Sabudana Vada, Veg Thali",500
Mandi,Yes,Yes,3.8,"Phirni, Chaat, Noodles, Rasgulla, Rabri, Butter Naan, Jalebi",800
Pallavi North Indian Veg Restaurant,Yes,No,3.7,"Butter Paneer, Butter Naan, Panneer Butter Masala, Tandoori Roti",450
Restro Cafe,Yes,No,3.8,Unknown,400
Idly Pidly,Yes,No,3.2,Tea,250
Vasudev Adiga's,No,No,2.3,"Coffee, Masala Dosa, Curd Rice, Idli Vada",250
TGI Fridays,Yes,Yes,3.9,"Cocktails, Salads, Burgers, Long Island Iced Tea, Tacos, Nachos, Steak",1700
Just Bake,Yes,No,2.6,"Coffee, Cup Cake",400
Earth Plate Express,Yes,No,3.9,Unknown,600
Gharelu Zaika,Yes,No,3.7,Unknown,250
Sardarji Londonwaley,No,No,4.05,"Dal Makhani, Kulcha, Makke Ki Roti, Butter Chicken, Garlic Naan, Tandoori Chicken, Palak Paneer",450
Apsara Ice Cream,No,No,4.0,Panipuri,200
Jiyo Natural,No,No,3.6,Unknown,300
Zyksha,No,No,3.4,Unknown,200
Biryani Times,No,No,3.5,Unknown,300
Targaryen's Kitchen,Yes,No,3.6,Tandoori Chicken,600
Sakshi,Yes,No,3.0,Unknown,550
MK Dabbawala,No,No,3.0,Unknown,400
Desi Vibes,Yes,No,3.7,Malai Kofta,400
Polar Bear,Yes,No,4.0,Hot Chocolate Fudge,150
The French Loaf,Yes,No,2.9,"Coffee, Pasta, Sandwiches, Sunday Breakfast, Apple Pie, Hot Chocolate, Chicken Quiche",400
Kulfi & More,Yes,No,3.7,"Faluda, Rabri, Malai Kulfi",150
Dal Roti,Yes,No,3.7,"Dal Makhani, Thali, Rajma Masala, Dal Fry, Sweet Lassi, Gulab Jamun",150
Jhasaa,Yes,No,3.2,Unknown,500
Wat-a-Biryani,Yes,No,3.0,Unknown,500
Status,Yes,No,3.2,Prompt Service,600
Juice Fresco & Pizza,Yes,No,3.4,Unknown,300
BMR Hyderabad Biryani,Yes,No,3.6,Unknown,400
Red Chilli,Yes,No,3.0,Unknown,400
Dakshin Food Palace,Yes,No,3.7,Unknown,450
Darjeeling Momo Adda,Yes,No,3.1,Unknown,200
Bottle Breacher,No,Yes,4.1,"Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos",1200
Special Biriyani,Yes,No,2.9,Unknown,300
The Tucck Box,Yes,No,3.4,Unknown,300
Swad Plaza,Yes,No,3.4,Unknown,400
Sweet Chariot,Yes,No,2.8,"Chicken Lasagne, Chocolate Cake, Mushroom Quiche, Sandwiches, Pizza, Steak",500
Desi Aahar,Yes,No,3.3,Unknown,400
Kesariya,No,Yes,4.2,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",1200
Swad Restaurant,Yes,No,3.7,"Thali, Paratha, Dal Kichadi",550
Checkpost,Yes,No,4.1,"Filter Kaapi, Coffee, Egg Curry, Neer Dosa, Kadala Curry, Ghee Idli, Noodles",400
Nourich,No,Yes,3.9,"Soba Noodles, Pad Thai Noodle, Chicken Sandwich",800
Karavali Grand,Yes,Yes,3.7,Unknown,600
Nandhini Paradise,No,No,3.8,"Ghee Rice, Hyderabadi Biryani, Butter Naan, Chicken Guntur, Thali",600
New Kabab Plaza,Yes,No,3.7,"Shawarma Roll, Chicken Grill, Tandoori Chicken, Chicken Wings, Ghee Rice, Pulpy Grape Juice",500
Coastal Mama,No,Yes,4.1,"Murgh Ghee Roast, Neer Dosa, Sea Food, Fish, Prawn Ghee Roast, Prawn Curry, Buttermilk",700
Wudfyr,Yes,No,3.8,Unknown,700
Waah Biryani,No,No,3.8,"Biryani, Butter Chicken, Chicken Wings, Tandoori Chicken, Chicken Grill, Arabian Grape Juice",350
Rara Avis,No,No,3.9,Chicken Curry,400
Chillz,No,No,3.5,Unknown,100
Sri Lakshmi Curries & Pickles,No,No,2.9,Unknown,400
Baskin Robbins,No,No,3.9,Mississippi Mud,250
The Punjabi Rasoi,No,No,3.8,"Kulcha, Panneer Butter Masala, Paneer Methi Malai, Roti, Tangdi Kabab, Dal Makhani, Tomato Chicken",800
Royal Chef Naati Oota,No,No,4.0,"Chicken Biryani, Donne Biryani, Chilli Chicken, Mutton Chops, Paratha, Mutton Biryani, Nati Biryani",500
Cafe Hops,No,No,3.7,Unknown,300
Flow - Terrace Bar & Grill,No,No,3.8,"Cocktails, Pizza, Chicken Tikka, Fish, Burgers, Nachos, Almond Flakes",1000
Ningi Family Restaurant,No,No,3.5,Unknown,400
Lassi Corner,No,No,3.5,"Lassi, Brownie, Faluda, Kulfi, Coffee",200
Advika Briyani Center,No,No,3.4,Unknown,300
Sai Jagannath Food and Chats Point,No,No,3.8,Unknown,300
Joey's,No,No,3.7,Unknown,300
Sree Krishna Kafe,No,No,3.9,"Vada, Pongal, Podi Idli, Masala Dosa, Podi Dosa, Idiyappam, Rice",200
Dilish Kitchens,No,No,3.7,Biryani,500
Daily Bread,No,No,3.2,"Pasta, Sandwiches, Cappuccino, Sandwich",600
Shanmukha,No,No,3.1,"Chicken Dum Biryani, Kerala Parotta, Chicken Boneless Biryani, Vegetable Biryani, Naan, Fish, Gulab Jamun",400
Jaganath Restaurant And Hotel,No,No,3.2,Unknown,300
Thayee Touch,No,No,3.6,Unknown,450
Eten,No,No,3.8,Unknown,600
Owl's Kitchen,No,No,3.1,Brownie,500
Kakal Kai Ruchi,No,No,3.9,Unknown,450
Blue Berry Restaurant,No,No,2.9,"Tandoori Chicken, Coffee, Butter Chicken, Fish Curry, Biryani",600
Bangali Babu Restaurant,No,No,3.2,Unknown,250
Donne Biriyani Mane,No,No,3.55,"Donne Biryani, Mutton Biryani",250
Sri Brahmi Kuteera,No,No,3.4,Unknown,150
Deccan Spice,No,No,3.5,"Hyderabadi Biryani, Dum Ka Chicken, Rice",750
Desi Wok,No,No,2.7,"Biryani, Manchow Soup, Naan",500
Namana Garden,No,No,2.6,Vada,400
Day N Night Kitchen,No,No,3.2,Unknown,450
Andhra Grills,No,No,3.0,"Andhra Meal, Thali",800
Appam Centre,No,No,3.2,Unknown,200
Sea Horse,No,No,3.4,Unknown,400
Sang Grail,No,No,3.6,Unknown,300
Petoo,No,No,3.7,"Jal-jeera, Paratha, Chaat",800
Night Panda,No,No,2.9,"Burgers, Chicken Biryani",500
E2 - Entre Envoy,No,No,3.5,Unknown,550
Aha Juice Bar,No,No,3.6,Unknown,200
Innate,No,No,3.2,Unknown,400
Tandoori Spot,No,No,3.5,Unknown,500
Night Hunger,No,No,3.1,Unknown,350
Iyengar's Bakery,No,No,3.5,Unknown,600
Nutri Fit,No,No,3.4,Unknown,300
New Kabab Plaza,No,No,3.7,"Shawarma Roll, Chicken Grill, Tandoori Chicken, Chicken Wings, Ghee Rice, Pulpy Grape Juice",300
Chicken Dera,No,No,3.0,Unknown,400
Cocoa 'n' Crme,No,No,3.5,Unknown,250
Bake The Cake,No,No,3.2,Unknown,400
Thirsty Tiger,No,Yes,3.5,Unknown,1300
Bay Root,No,No,3.7,Unknown,400
BTM Cakes,Yes,No,3.3,Unknown,400
Spicy World,Yes,No,3.4,Unknown,200
Shiv Sagar,No,No,3.6,"Coffee, Chaat, Bhel Puri, Spring Dosa, Buttermilk, Bread Pakora, Masala Poori",400
Kamat Swaad,Yes,No,3.9,"Jowar Roti, Akki Rottis, Buttermilk, Idli, Thali, Vada, Bajji",400
Ishta Cafe,Yes,No,3.9,"Burgers, Masala Dosa, Millet Pizza, Falafel Wrap",200
Combo Studio,Yes,No,3.1,Unknown,500
Tastte!!,Yes,No,3.7,Unknown,450
Kanhaiyas,Yes,No,3.6,Unknown,150
Juice Lounge,Yes,No,3.1,Unknown,250
Mumbai Kulfi,Yes,No,4.0,"Calcutta Paan, Malai Kulfi, Tender Coconut Kulfi, Kesar Pista Kulfi, Mango Kulfi",200
Tandoor Nation,Yes,No,3.0,Unknown,400
Indian Kitchen Eateries-IKE,Yes,No,3.4,Unknown,150
The Little Kitchen,Yes,No,3.4,Unknown,300
Diya's Findish,Yes,No,3.3,Unknown,500
Laa Raiba Restaurant,Yes,No,3.3,Unknown,300
Bhavani Upahara,Yes,No,3.3,Unknown,250
Sampoorna,Yes,No,3.6,Unknown,600
Cafe Mist,Yes,No,3.8,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos",500
Fat Chef Biryani Wale,Yes,No,3.3,"Biryani, Gulab Jamun",400
Kesar Restaurant,Yes,No,3.6,Unknown,200
Hottey Smokey,Yes,No,3.8,"Chicken Shashlik, Pasta, Veg Sizzler",400
The Duke of Juices,Yes,No,2.8,Unknown,200
Navab's,Yes,No,3.6,"Biryani, Butter Naan, Tikka, Kadhai Paneer",600
Chawla's 2 Online.com,Yes,No,3.5,"Tandoori Chicken, Butter Chicken, Shahi Paneer",800
Namma Halli Jonne Biryani,Yes,No,3.3,Unknown,300
The Biriyani Factory,Yes,No,3.1,Unknown,500
Insta Cafe,Yes,No,2.9,Unknown,400
Chination,Yes,No,3.55,Unknown,600
Amma's Pastries,No,No,4.0,Cheesecake,400
Polar Bear,Yes,No,3.9,"Sandwiches, Hot Chocolate Fudge, Brownie, Sandwich",400
World on a Swirl,No,No,3.8,Courteous Staff,300
Waffle Walle,Yes,No,4.4,"Liege Waffle, Vanilla Ice Cream, Chocolate Waffles, Chocolate Drink, Crunchy Waffles, Chocolate Icecreams, Belgian Waffles",500
Kanti Sweets,Yes,No,3.5,"Rasmalai, Gulab Jamun, Pav Bhaji, Chaat, Sev Puri, Kaju Katli",400
Baskin Robbins,No,No,3.6,Waffle Cone,250
Lassi Shop,No,No,3.7,"Faluda, Sweet Lassi, Mango Lassi, Malai Kulfi",200
L J Iyengar Bakery,No,No,3.2,"Fruit Cake, Chocolate Cake, Egg Puff",100
Ice Bowl,No,No,3.4,Unknown,250
Just Bake,Yes,No,3.2,"Coffee, Cup Cake",400
Sweet Truth,Yes,No,4.1,"Cheesecake, Chocolate Decadence, Pancakes, Chocolate Fantasy, Chocolava Cake, Chocolate Cake, Red Velvet Cake",500
K.C Das,No,No,3.4,Unknown,200
Mist n Creams,No,No,3.6,Friendly Staff,400
Mr Gola,No,No,3.4,Unknown,100
Orchard Fresh,No,No,3.4,Unknown,400
Frosty Creams,No,No,3.7,Unknown,300
Squeez Juice Bars,No,No,3.1,Unknown,250
Kulfi Adda,No,No,3.4,Unknown,150
The Sandesh Factory,No,No,3.2,Unknown,150
Bowring Kulfi,No,No,4.0,"Kulfi, Mango Juice, Kesar Pista, Lassi",150
Oven Fresh,No,No,2.9,Unknown,600
Amma's Pastries,No,No,3.6,"Burgers, Cheesecake",400
Cakes And Crumbs,No,No,3.4,Unknown,350
Cream Stone,No,No,4.0,"Paan Ice Cream, Chocolava, Nutella Brownie, Ferrero Rocher, Waffles, Hot Chocolate Fudge, Chocolate Icecreams",500
Venkateshwara Sweets and Restaurant,No,No,3.6,Unknown,400
Calvin's,No,No,2.9,"Pasta, Sandwiches, Club Sandwich, Cottage Cheese Steak, Waffles, Chicken Lasagne, Chicken Burger",800
Mini Forest,No,No,3.3,Unknown,500
Kulfi & More,No,No,3.3,"Faluda, Rabri, Malai Kulfi",150
Delhi Sweets,No,No,3.1,Unknown,100
Whisk' N Creme',No,No,3.5,Unknown,300
Veruthe Oru Thattukada,No,No,3.8,"Kadala Curry, Egg Roast, Beef Fry, Fish Fry, Chicken Curry, Fish Curry, Malabari Biryani",400
A2B - Adyar Ananda Bhavan,Yes,No,2.7,"Filter Coffee, Chilli Babycorn, Pav Bhaji, Pongal, Paneer Tikka, Onion Rava Dosa, Chaat",400
Beijing Bites,No,No,2.7,Chop Suey,850
Kabab Magic,No,No,3.7,"Biryani, Chicken Grill, Shawarma Roll, Tandoori Chicken, Rumali Roti, Pulpy Grape Juice, Brosted Chicken",400
Thalassery Food Court,No,No,3.1,Unknown,500
Guru Paradise,No,Yes,2.9,"Manchow Soup, Wine, Biryani, Cocktails, Noodles, Stuffed Mushroom, Fish",1000
Diletto,No,No,3.5,Unknown,800
Terrace Lounge,No,No,3.6,Unknown,1600
Utsav Restaurant,No,No,3.6,Unknown,1000
Fresh Lemon Soda,No,No,3.1,Unknown,150
Donne Biriyani Mane,No,No,3.2,"Donne Biryani, Mutton Biryani",300
Sai Abhiruchi,No,No,3.75,"Dum Biryani, Dal Fry, Paneer Biryani",800
New Kabab Zone,Yes,No,3.5,Unknown,500
Purani Dilli By Anand Sweets,No,No,4.1,"Chaat, Thali, Jalebi, Rajma, Paneer Tikka, Paratha, Kulfi",500
Domino's Pizza,Yes,No,3.7,"Pizza, Peppy Paneer",800
KFC,Yes,No,3.8,"Rice Bowl, Paneer Zinger Burger, Burgers, Crispy Chicken, Chicken Boneless Strips",400
Ingu Tengu,No,No,3.9,"Vada, Masala Dosa, Coffee, Akki Rottis, Idli Chutney, Curd Rice, Ghee Roast Dosa",150
Green Onion,No,No,3.3,"Noodles, Momos, Chicken Noodle",400
Chaitanya Grand,No,No,3.6,Unknown,300
Burj Hotel,Yes,No,3.4,Unknown,350
Kailash Parbat,No,No,3.1,"Chaat, Bombay Bhel, Pav Bhaji, Ragda Pattis",600
More Pizza,Yes,No,3.5,"Pizza, Garlic Bread, Chicken Lasagne",500
Spar Refresh,No,No,3.4,Unknown,300
Marhaba,No,No,3.5,"Chicken Biryani, Mint Lemonade, Falafel, French Fries",500
Manjushree Veg,No,No,3.5,Unknown,150
Mom's Momos,No,No,3.7,Unknown,100
Faasos,Yes,No,3.9,"Chicken Wrap, Veggie Wrap, Rolls, Paneer Wrap",500
Sai Shiv Sagar,No,No,2.8,Unknown,300
Tiwari's,Yes,No,3.9,"Chaat, Panipuri, Lassi, Aloo Paratha, Chai, Gulab Jamun",200
